Defect ID,Module,Summary,Priority,Assignee,Affect Version,Environment,Steps to Recreate,Expected Results,Actual Results,Status
,,,,,,,4.Click on add item button.,,,
,,,,,,,5.Enter valid item information and a used item name,,,
,,,,,,,6.Click on Submit item button.,,,
Ushop_020,Manage Items,Filter by availability,Medium,,V.0.0.1,Testing,1.Enter valid URL,User should be able to filter instock items and out of stock items seperately,Do not filter the items according to availability.,Done
,,,,,,,2.Login to the system.,,,
,,,,,,,"3.Click on ""manage items""  tab",,,
,,,,,,,4.Click on in stock/ out of stock filter,,,
,,,,,,,5.Click on apply button,,,
Ushop_021,Settings,General- Save store information missing store description(mandatory,Medium,,V.0.0.1,Testing,1.Enter valid URL,User should not able to save store information and should give an error message,"User can save store information missing store description(mandatory) . Gives the popup message "" Item created successfully""",Done
,,,,,,,2.Login to the system,,,
,,,,,,,"3.Click on ""Settings""",,,
,,,,,,,4.Click on general,,,
,,,,,,,5.Remove store description ,,,
,,,,,,,6.Save,,,
Ushop_022,Settings,General- Save store information missing address(mandatory),Medium,,V.0.0.1,Testing,1.Enter valid URL,User should not able to save store information.should giive an error message.,"User can save store information missing address. Gives the message "" Item created successfully""",Done
,,,,,,,2.Login to the system,,,
,,,,,,,"3.Click on ""Settings""",,,
,,,,,,,4.Click on general,,,
,,,,,,,5.Remove store address,,,
,,,,,,,7.Save,,,
Ushop_023,Settings,General- Sav store information missing store name,Medium,,V.0.0.1,Testing,1.Enter valid URL,User should not be able to save store information and should give an error message.,User can save store information while missing store name,Done
,,,,,,,2.Login to the system,,,
,,,,,,,"3.Click on ""Settings""",,,
,,,,,,,4.Click on general,,,
,,,,,,,5.Remove store address,,,
,,,,,,,7.Save,,,
Ushop_024,Place order:Discounts,Discount amount should be deducted from the subtotal and give the final price,Medium,,V.0.0.1,Testing,1. Enter the valid shop URL.,Discount amount should be deducted from the subtotal and give the final price,Discount amount do not deduct from the subtotal and gives an error message.,Done
,,,,,,,2.Login to the system.,,,
,,,,,,,3.Add items to the cart,,,
,,,,,,,4.Go to the cart.,,,
,,,,,,,5. Apply the discount code,,,
Ushop_025,Orders,Order receipt,Medium,,V.0.0.1,Testing,1.Enter valid URL,Order receipt should be contained order details and customer details provided by the customer when placing the order.,Order receipt do not contain the order details and customer details provided by the customer,Done
,,,,,,,2.Login to the system.,,,
,,,,,,,"3.Click on ""orders""  tab",,,
,,,,,,,4.Click on existing order status.,,,
Ushop_026,Place orders,"""See more "" option in item descritio",Medium,,V.0.0.1,Testing,1.Enter valid shop URL,Should give item description and further details about the item.,Do not give any further details when go throuh that link. Just an empty dialogue box.,Done
,,,,,,,2.Login to the system.,,,
,,,,,,,"3.Click on ""See more"" link under the necessery item.",,,
Usop_027,Register,URL Placeholder,Medium,,V.0.0.1,Testing,1. Enter valid URL,The placeholder text should include only simple letters.,"It includes ""Saman-Handy-Crafts"" as the placeholder text",Done
,,,,,,,2.Go to store register page,,,
Ushop_028,Register,Whatsapp number field,Medium,,V.0.0.1,Testing,1. Enter valid URL,Mobile no fields should be able to enter 10/09 digits and should avoid special characters,"It can contain large number of digits and some special characters like "".-+""",Done
,,,,,,,2.Go to store register page,,,
Ushop_029,Manage Items,Add Items,Medium,,V.0.0..1,Testing,1.Enter valid URL,The page title appears as Edit Item.,Edit item option appears under create item title,To do
,,,,,,,2.Login to the system,,,
,,,,,,,3.Click on a item to be edited.,,,
,,,,,,,4.It direct to edit item under create item title.,,,
Ushop_030,Signup: Register,Mobile number fields,Medium,,V.0.0.1,Testing,1.Enter valid URL,The optional mobile number and the whatsapp number should be in a same format,Optional mobile number field auto filled without 0 as the first digit while the place holder test in whatsapp number field indicates 0.,To do
,,,,,,,2.Give a valimobile number,,,
,,,,,,,3.Enter the OTP.,,,
,,,,,,,4.The store registration page,,,
Ushop_031,Signin,Wrong notification for succesful signin.,Medium,,V.0.0.1,Testing,Enter URL.,"It should give the notification ""Successfully signed in"".","Gives the notification ""Successfully signed up!"" for successful signing.",Done
,,,,,,,Access the URL from any browser.,,,
,,,,,,,Click on signin button,,,
,,,,,,,Enter mobile number.,,,
,,,,,,,Click on confirm button.,,,
,,,,,,,Enter OTP,,,
,,,,,,,Click on confirm button.,,,
,,,,,,,Click on Next button.,,,
Ushop_032,Place orders,"""Send via whatsapp"" button is not working.",Medium,,V.0.0.1,Testing,Enter valid shop URL and login to created shop.,It should send a whatsapp message when click on the button.,Do not send whatsapp message.,Done
,,,,,,,Add items to cart.,,,
,,,,,,,Click on cart.,,,
,,,,,,,Click on next button.,,,
,,,,,,,Enter order details and elivery details.,,,
,,,,,,,Click on next button.,,,
Ushop_033,Settings : General,Wrong notification for successful updation of the store details,Medium,,V.0.0.1,Testing,1. Enter valid URL,It should give a relevent notification., After saving the details it shows the notification as 'Items created successfully',Done
,,,,,,,2. Login to the system.,,,
,,,,,,,3.Click on Settings tab,,,
,,,,,,,4.Go to store settings in general settings.,,,
,,,,,,,5. Update store information.,,,
,,,,,,,6.Click on save button.,,,
Ushop_034,Reporting,Cancelled orers section do not represent the number of cancelled orders and the total amount of the orders.,Medium,,V.0.0.1,Testing,1. Enter valid URL,Cancelled Orders section should display the number of orders that has been cancelled.,That section shows 0 for both values.,To do
,,,,,,,2.Login to the system.,,,
,,,,,,,3.Click on Reporting tab.,,,
,,,,,,,4.The Cancelled orders under order category.,,,
Ushop_035,Place Orders,No of items appears in the cart do not tally with the total price in the cart,Medium,,V.0.0.1,Testing,Enter a valid shop URL and login to the shop.,The value that cart shows should be equal to the total value of items in the cart.,Cart shows the value of whole units of the store from selected items.,To do
,,,,,,,Add an item to the cart.,,,
